asof,collected_at_utc,ticker,target_end_date,eps_estimate,currency,proxy_weight
2026-09-02,2026-09-03T02:17:23+00:00,AAPL,2027-09-30,9.53289,USD,0.1044909474591172
2026-09-02,2026-09-03T02:17:23+00:00,AMAT,2027-10-31,18.46078,USD,0.0076665382174783
2026-09-02,2026-09-03T02:17:23+00:00,AMD,2027-12-31,15.45073,USD,0.016439508813109
2026-09-02,2026-09-03T02:17:23+00:00,AMGN,2027-12-31,24.39759,USD,0.0052749417064664
2026-09-02,2026-09-03T02:17:23+00:00,AMZN,2027-12-31,10.48527,USD,0.0605965955469526
2026-09-02,2026-09-03T02:17:23+00:00,ARM,2028-03-31,3.06084,USD,0.0055264825431591
2026-09-02,2026-09-03T02:17:23+00:00,ASML,2027-12-31,51.70263,EUR,0.0142369460321188
2026-09-02,2026-09-03T02:17:23+00:00,AVGO,2027-10-31,19.5728,USD,0.0384950740259403
2026-09-02,2026-09-03T02:17:23+00:00,COST,2027-08-31,22.70548,USD,0.0090722390622745
2026-09-02,2026-09-03T02:17:23+00:00,CRWD,2028-01-31,1.59788,USD,0.0045891794625211
2026-09-02,2026-09-03T02:17:23+00:00,CSCO,2028-07-31,5.60226,USD,0.0095055849218806
2026-09-02,2026-09-03T02:17:23+00:00,GOOG,2027-12-31,14.82767,USD,0.089940133040182
2026-09-02,2026-09-03T02:17:23+00:00,GOOGL,2027-12-31,14.83929,USD,0.0908401261975977
2026-09-02,2026-09-03T02:17:23+00:00,INTC,2027-12-31,2.04013,USD,0.0104252475763926
2026-09-02,2026-09-03T02:17:23+00:00,KLAC,2028-06-30,6.68948,USD,0.0049588214148152
2026-09-02,2026-09-03T02:17:23+00:00,LIN,2027-12-31,18.28023,USD,0.0049508685640107
2026-09-02,2026-09-03T02:17:23+00:00,LRCX,2028-06-30,11.57261,USD,0.007949001656201
2026-09-02,2026-09-03T02:17:23+00:00,META,2027-12-31,33.94621,USD,0.0332758481889968
2026-09-02,2026-09-03T02:17:23+00:00,MSFT,2028-06-30,23.57328,USD,0.0812823991762382
2026-09-02,2026-09-03T02:17:23+00:00,MU,2027-08-31,155.02524,USD,0.0237907681653809
2026-09-02,2026-09-03T02:17:23+00:00,NFLX,2027-12-31,3.81626,USD,0.0075899085851839
2026-09-02,2026-09-03T02:17:23+00:00,NVDA,2028-01-31,15.40425,USD,0.11939179152054
2026-09-02,2026-09-03T02:17:23+00:00,PANW,2028-07-31,2.2948,USD,0.0058984191291855
2026-09-02,2026-09-03T02:17:23+00:00,PLTR,2027-12-31,2.31424,USD,0.008972234856507
2026-09-02,2026-09-03T02:17:23+00:00,SNDK,2028-06-30,264.72162,USD,0.0050112932920211
2026-09-02,2026-09-03T02:17:23+00:00,SPCX,2027-12-31,1.78186,USD,0.0408665631270646
2026-09-02,2026-09-03T02:17:23+00:00,TMUS,2027-12-31,13.89549,USD,0.0044266343137435
2026-09-02,2026-09-03T02:17:23+00:00,TSLA,2027-12-31,2.15858,USD,0.0310668196796879
2026-09-02,2026-09-03T02:17:23+00:00,TXN,2027-12-31,10.1005,USD,0.0051269264054312
2026-09-02,2026-09-03T02:17:23+00:00,WMT,2028-01-31,3.23097,USD,0.0185447854852465
2026-09-03,2026-09-03T23:29:18+00:00,AAPL,2027-09-30,9.53289,USD,0.1039412141587477
2026-09-03,2026-09-03T23:29:18+00:00,AMAT,2027-10-31,18.46078,USD,0.0075067747570343
2026-09-03,2026-09-03T23:29:18+00:00,AMD,2027-12-31,15.45073,USD,0.0161592069563309
2026-09-03,2026-09-03T23:29:18+00:00,AMGN,2027-12-31,24.39759,USD,0.005210247666573
2026-09-03,2026-09-03T23:29:18+00:00,AMZN,2027-12-31,10.48527,USD,0.0605984298197357
2026-09-03,2026-09-03T23:29:18+00:00,ARM,2028-03-31,3.06084,USD,0.0056221165957697
2026-09-03,2026-09-03T23:29:18+00:00,ASML,2027-12-31,51.70263,EUR,0.0137208349528628
2026-09-03,2026-09-03T23:29:18+00:00,AVGO,2027-10-31,19.5728,USD,0.0368727242864526
2026-09-03,2026-09-03T23:29:18+00:00,COST,2027-08-31,22.70548,USD,0.0089056030334044
2026-09-03,2026-09-03T23:29:18+00:00,CRWD,2028-01-31,1.59788,USD,0.0047764635676741
2026-09-03,2026-09-03T23:29:18+00:00,CSCO,2028-07-31,5.60226,USD,0.009289245428641
2026-09-03,2026-09-03T23:29:18+00:00,GOOG,2027-12-31,14.82767,USD,0.0899875834885974
2026-09-03,2026-09-03T23:29:18+00:00,GOOGL,2027-12-31,14.83929,USD,0.0908899074031305
2026-09-03,2026-09-03T23:29:18+00:00,INTC,2027-12-31,2.04013,USD,0.0104524255629791
2026-09-03,2026-09-03T23:29:18+00:00,KLAC,2028-06-30,6.68948,USD,0.0049031673352334
2026-09-03,2026-09-03T23:29:18+00:00,LIN,2027-12-31,18.28023,USD,0.0048234383067309
